model,threshold,n,positives,predicted_positives,tp,fp,tn,fn,accuracy,sensitivity,specificity,precision,npv,f1,balanced_accuracy,auc,brier
ARP_model,0.55,387,112,15,11,4,271,101,0.7286821705426356,0.09821428571428571,0.9854545454545455,0.7333333333333333,0.728494623655914,0.1732283464566929,0.5418344155844156,0.681461038961039,0.18845706448469915
ARP_model,0.56,387,112,14,10,4,271,102,0.7260981912144703,0.08928571428571429,0.9854545454545455,0.7142857142857143,0.7265415549597856,0.15873015873015872,0.5373701298701299,0.681461038961039,0.18845706448469915
ARP_model,0.57,387,112,12,10,2,273,102,0.7312661498708011,0.08928571428571429,0.9927272727272727,0.8333333333333334,0.728,0.16129032258064516,0.5410064935064934,0.681461038961039,0.18845706448469915
ARP_model,0.58,387,112,11,10,1,274,102,0.7338501291989664,0.08928571428571429,0.9963636363636363,0.9090909090909091,0.7287234042553191,0.16260162601626016,0.5428246753246753,0.681461038961039,0.18845706448469915
ARP_model,0.59,387,112,11,10,1,274,102,0.7338501291989664,0.08928571428571429,0.9963636363636363,0.9090909090909091,0.7287234042553191,0.16260162601626016,0.5428246753246753,0.681461038961039,0.18845706448469915
ARP_model,0.6,387,112,8,8,0,275,104,0.7312661498708011,0.07142857142857142,1.0,1.0,0.7255936675461742,0.13333333333333333,0.5357142857142857,0.681461038961039,0.18845706448469915
ARP_model,0.61,387,112,8,8,0,275,104,0.7312661498708011,0.07142857142857142,1.0,1.0,0.7255936675461742,0.13333333333333333,0.5357142857142857,0.681461038961039,0.18845706448469915
ARP_model,0.62,387,112,7,7,0,275,105,0.7286821705426356,0.0625,1.0,1.0,0.7236842105263158,0.11764705882352941,0.53125,0.681461038961039,0.18845706448469915
ARP_model,0.63,387,112,6,6,0,275,106,0.7260981912144703,0.05357142857142857,1.0,1.0,0.7217847769028871,0.10169491525423728,0.5267857142857143,0.681461038961039,0.18845706448469915
ARP_model,0.64,387,112,5,5,0,275,107,0.7235142118863049,0.044642857142857144,1.0,1.0,0.7198952879581152,0.08547008547008547,0.5223214285714286,0.681461038961039,0.18845706448469915
ARP_model,0.65,387,112,5,5,0,275,107,0.7235142118863049,0.044642857142857144,1.0,1.0,0.7198952879581152,0.08547008547008547,0.5223214285714286,0.681461038961039,0.18845706448469915
ARP_model,0.66,387,112,4,4,0,275,108,0.7209302325581395,0.03571428571428571,1.0,1.0,0.7180156657963447,0.0689655172413793,0.5178571428571429,0.681461038961039,0.18845706448469915
ARP_model,0.67,387,112,4,4,0,275,108,0.7209302325581395,0.03571428571428571,1.0,1.0,0.7180156657963447,0.0689655172413793,0.5178571428571429,0.681461038961039,0.18845706448469915
ARP_model,0.68,387,112,2,2,0,275,110,0.7157622739018088,0.017857142857142856,1.0,1.0,0.7142857142857143,0.03508771929824561,0.5089285714285714,0.681461038961039,0.18845706448469915
ARP_model,0.69,387,112,1,1,0,275,111,0.7131782945736435,0.008928571428571428,1.0,1.0,0.7124352331606217,0.017699115044247787,0.5044642857142857,0.681461038961039,0.18845706448469915
ARP_model,0.7,387,112,1,1,0,275,111,0.7131782945736435,0.008928571428571428,1.0,1.0,0.7124352331606217,0.017699115044247787,0.5044642857142857,0.681461038961039,0.18845706448469915
ARP_model,0.71,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.72,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.73,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.74,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.75,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.76,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.77,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.78,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
ARP_model,0.79,387,112,0,0,0,275,112,0.710594315245478,0.0,1.0,,0.710594315245478,,0.5,0.681461038961039,0.18845706448469915
