,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_parsopercularis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_superiorparietal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_insula_thickness,rh_bankssts_thickness,rh_caudalmiddlefrontal_thickness,rh_fusiform_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_parsopercularis_thickness,rh_parstriangularis_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_rostralanteriorcingulate_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness
lh_parsopercularis_thickness,0.8715129124877435,0.9926188680028121,0.984141812706029,0.9865853448008978,0.9607064879420137,0.9955461966389391,0.9830362516955387,0.9636180828465198,0.9996379150836202,0.9700985807735631,1.0,0.9962565774586346,0.9828045767561772,0.9897648513272375,0.975564590311386,0.9972507404367569,0.8974434030412466,0.9926836735107972,0.9914831224537586,0.9572959683272775,0.9787378320961538,0.9870373651491425,0.9992881953194315,0.9920578573270775,0.9941621359982032,0.9431780080094333,0.9924152535035123,0.9242704326202229,0.9970127406518425,0.9905081228704337,0.9726079411954692,0.9955393794418422,0.8427552662560928,0.9909815103199411,0.9926404597534695,0.9913737350089356,0.9379879660463176,0.9835351591148398,0.9847055666968394
lh_parstriangularis_thickness,0.9072311996463447,0.9993400284690347,0.995439953981355,0.9833940247638838,0.9806423542148541,0.9978517818481848,0.9843590514258447,0.9633776786499206,0.9945960046316515,0.9866809376680131,0.9962565774586346,1.0,0.9688138093896888,0.9979374357386569,0.9886188433863928,0.9979830972108279,0.9201227767562898,0.9977826696428874,0.9989419028231717,0.9765769868518679,0.9909527334142898,0.9868470861569206,0.9963215134386024,0.9990037752364991,0.9966938530369883,0.9595020387972834,0.9876697989978926,0.932901321692923,0.9870235979702794,0.9981196028750802,0.987702133103218,0.9991345699580557,0.8563556692299242,0.9985061684939813,0.9986566818390075,0.9988754916463394,0.9624924343299888,0.9944031463419795,0.9935829847312871
lh_pericalcarine_thickness,0.8214759358612297,0.9607608453576915,0.950733811028474,0.9879499940485963,0.9053598693750736,0.9780822968078418,0.9791434784050943,0.9699338400511539,0.9871595952409234,0.9181294170986788,0.9828045767561772,0.9688138093896888,1.0,0.9534967791110425,0.9470401584575912,0.9809877827301674,0.8760646909385962,0.9715823349081808,0.9576749283895262,0.9169310218303995,0.9468936179109969,0.9807745132689458,0.9844683815517916,0.9626088146540094,0.9777027406454175,0.9240243398399396,0.9934195904212016,0.9308167644279407,0.9921429719744016,0.9625505959606573,0.9384713438169107,0.9631963492954547,0.8597130191904343,0.9595315942052997,0.9667868908085308,0.957523460402306,0.8921138214416622,0.9503502434264658,0.9593649535275832
lh_postcentral_thickness,0.9194619835464878,0.999045714002782,0.9969573459598045,0.973069808068607,0.9898265851998109,0.9941898291424396,0.9759665187653892,0.9512631732424232,0.986915308357773,0.9934844000110435,0.9897648513272375,0.9979374357386569,0.9534967791110425,1.0,0.9896301390735179,0.993017974491636,0.9202585125796097,0.9953141372827198,0.9995695646976928,0.9811914156814232,0.9915134837251403,0.977769959895645,0.9894697532194956,0.9983027544463676,0.9919095427173596,0.9580180493378201,0.9780004392309735,0.9235784511007266,0.9762971255706563,0.9972707580578514,0.9906867211201518,0.9983272492520084,0.8450541494600199,0.9979846840666572,0.997456679255398,0.9995539576345749,0.9694089086177498,0.9949091965130501,0.9923593899767963
lh_posteriorcingulate_thickness,0.9570534331915619,0.9917235326313368,0.9967495856339015,0.9802447889585454,0.9865359182491759,0.9888961752883608,0.9877255344281403,0.974145854598263,0.9741095129752111,0.9852184889474466,0.975564590311386,0.9886188433863928,0.9470401584575912,0.9896301390735179,1.0,0.9879126046963662,0.9661773007822827,0.9920138413147177,0.99084306522433,0.9960668268204087,0.9983219264149573,0.9864002298336139,0.9803219799690476,0.9937986101783614,0.9918650688399756,0.9885783765095604,0.9773597466815418,0.9646063832132198,0.9603265556621309,0.9959548063319802,0.9994465080083487,0.9836685931678257,0.9096108245594566,0.99447373369948,0.9913596123516862,0.9905286140177639,0.9891482566455457,0.9972421114329363,0.9986355672481381
lh_precuneus_thickness,0.9013177339660549,0.9961351176280943,0.9922035708014977,0.9924605143186169,0.9698578666081087,0.9994169413189008,0.9919857678591764,0.9754598331806301,0.9972512325324874,0.9765166803855561,0.9972507404367569,0.9979830972108279,0.9809877827301674,0.993017974491636,0.9879126046963662,1.0,0.9247892596745204,0.9981319853414068,0.9948933722784785,0.9727677456910747,0.9892155061934661,0.9933353753605675,0.9986936180898096,0.9968277991274095,0.9992394384794482,0.9636790573766825,0.995535443812039,0.9461874589807813,0.9916992320555614,0.9966059677600261,0.9850467092798374,0.9951633144237877,0.8742385021773901,0.9958684253431879,0.9972093131227638,0.9947362163580681,0.9569514133013901,0.9918206640274106,0.9937934476677872
lh_rostralanteriorcingulate_thickness,0.9796134053390725,0.9278091448073892,0.9454182231604102,0.9374773486539232,0.9334353842269596,0.925355109426122,0.9539552282699147,0.9608552390974038,0.8976754883234561,0.9237519325697101,0.8974434030412466,0.9201227767562898,0.8760646909385962,0.9202585125796097,0.9661773007822827,0.9247892596745204,1.0,0.9325071487082253,0.9244235066908977,0.9746777346492235,0.9609074120687241,0.9473965505833194,0.9109347853770181,0.9343594448720173,0.9383474592246832,0.9923549150460107,0.9189954496585968,0.9840095093667593,0.8772827954451022,0.9414627984604188,0.9637420161164051,0.9068318419696966,0.9734123424265517,0.9376187069558553,0.9277110838571041,0.9234897596492955,0.97804046107741,0.9518913668401207,0.9576159143777765
lh_superiorparietal_thickness,0.9180781431936762,0.9977365867044428,0.9967308422313782,0.987523286942632,0.9781802161818653,0.9993055553082509,0.9898100885098929,0.9714826357589778,0.9921651935343125,0.9847203987614535,0.9926836735107972,0.9977826696428874,0.9715823349081808,0.9953141372827198,0.9920138413147177,0.9981319853414068,0.9325071487082253,1.0,0.9971186164323312,0.9798964226464092,0.9936689266435885,0.9892331817405732,0.9941821804422103,0.9985449632307641,0.9981348805325019,0.9694142050792911,0.9905977297811114,0.9471991149359108,0.9838591312522061,0.9983071970816851,0.9903316873640337,0.9948488392203901,0.8778081132514921,0.9973159942558092,0.9995681976711982,0.997117559361201,0.9677171309927229,0.9955627342782424,0.9951591725502672
lh_supramarginal_thickness,0.9199311512814503,0.9998348335061866,0.9978790022329491,0.9769795619016608,0.9880784358559996,0.9958471497540369,0.9800015869111265,0.9570867543215075,0.9890283034758672,0.992935405795739,0.9914831224537586,0.9989419028231717,0.9576749283895262,0.9995695646976928,0.99084306522433,0.9948933722784785,0.9244235066908977,0.9971186164323312,1.0,0.9820092008765372,0.9933036702039387,0.9816140912991579,0.9915161883536295,0.9993651301252755,0.994157395898785,0.9618003119942374,0.9811116900147484,0.9299151543224912,0.978938691021505,0.9984382272000415,0.9912560999481055,0.9985566051474559,0.8539692120150202,0.9990160754317159,0.9987542751522391,0.9999883098405268,0.9704415794943984,0.9963918884755403,0.9938279344494042
lh_frontalpole_thickness,0.9751475483461232,0.9826384670059511,0.9912406964244982,0.962742582452251,0.989048111903346,0.9745435492780594,0.974245449649189,0.9611566804802565,0.9544844812704065,0.98497030574525,0.9572959683272775,0.9765769868518679,0.9169310218303995,0.9811914156814232,0.9960668268204087,0.9727677456910747,0.9746777346492235,0.9798964226464092,0.9820092008765372,1.0,0.9954316162163421,0.9719863358333322,0.9631110582533979,0.984783126132455,0.9790081681931533,0.9897026691474621,0.9564698314861839,0.9590248816654323,0.9360772368191416,0.9872232322605423,0.9974046043579731,0.9718320946866609,0.9098229470914795,0.986690381222332,0.980168625386757,0.9815731205365708,0.9976589555453805,0.9930263209829682,0.991793063200179
